via_princi,sentido,latitud,longitud
Viaducto Rio de la Piedad,Poniente a Oriente,19.4056047,-99.1197212
Circuito Bicentenario Maestro Jose Vasconcelos,Norte a Sur,19.407957,-99.184197
Fray Servando,Poniente a Oriente,19.423568,-99.131166
Eje Central,Sur a Norte,19.449558,-99.138399
Periferico 2P S-N,Norte a Sur,19.354244,-99.199933
Autopista Urbana Norte (AUN),Norte a Sur,19.395246,-99.188713
Periferico 2P S-N,Norte a Sur,19.359411,-99.193844
Universidad,Sur a Norte,19.346874,-99.180131
Circuito Bicentenario Av. Rio Churubusco,Sur a Norte,19.37929,-99.095667
Eje 1 Oriente,Norte a Sur,19.452092,-99.124752
Eje 1 Poniente Guerrero,Norte a Sur,19.456251,-99.145048
Arcos de Belen,Oriente a Poniente,19.426584,-99.141868
Av. Insurgentes Nte.,Sur a Norte,19.4735857,-99.134751
Av. Marina Nacional,Sur a Norte,19.4520233,-99.1855748
Av. Rivera de San Cosme y Santa Mar?a La Rivera,Oriente a Poniente,19.440977,-99.15837
Av. Paseo de la Reforma,Oriente a Poniente,19.423585,-99.175399
Poniente a Oriente,,19.473673,-99.15889
Autopista Urbana Norte (AUN),Sur a Norte,19.4387655,-99.2142775
Fray Servando Teresa de Mier,Poniente a Oriente,19.4215211,-99.1184883
Calz. Ignacio Zaragoza,Poniente a Oriente,19.422735,-99.101904
Av. Oceania,Poniente a Oriente,19.4391863,-99.0972188
Chapultepec,Oriente a Poniente,19.421324,-99.173931
Calz. Gral. Ignacio Zaragoza,Poniente a Oriente,19.419915,-99.096795
Guadalupe I. Ramirez,Oriente a Poniente,19.265928,-99.114759
Av. Hidalgo - Paseo de la Reforma y Zarco,Oriente a Poniente,19.437403,-99.145792
Av. Aquiles Serdan,Sur a Norte,19.489679,-99.194411
Eje 3 Poniente,Norte a Sur,19.429957,-99.174731
Circuito Bicentenario Av. Rio Consulado y Av. Ing. Eduardo Molina,Sur a Norte,19.4523151,-99.1088224
Eje Central Lazaro Cardenas y Circuito Bicentenario Paseo de las Jacarandas,Sur a Norte,19.464898,-99.137374
Anillo Periferico Canal de Garay,Norte a Sur,19.323534,-99.071847
Calz. De Tlalpan,Norte a Sur,19.3287573,-99.1398364
San Lorenzo y Eje 8 Sur,Sur a Norte,19.350968,-99.07478
Periferico 2P S-N,Norte a Sur,19.3727515,-99.1921234
Circuito Bicentenario Melchor Ocampo,Sur a Norte,19.42859,-99.1741747
Eje 6 Sur Narciso Mendoza,Oriente a Poniente,19.352139,-99.015352
Eje 4 Oriente,Norte a Sur,19.379954,-99.095682
Eje 6 Sur,Poniente a Oriente,19.362278,-99.049156
Pino Suarez,Norte a Sur,19.430987,-99.132297
Eje 2 Nte. Manuel Gonzalez,Oriente a Poniente,19.4565453,-99.1463572
Eje Central Lazaro Cardenas,Sur a Norte,19.40712,-99.144644
Eje Central,Sur a Norte,19.4359178,-99.1406917
Eje 5 Av. Montevideo,Oriente a Poniente,19.489519,-99.129903
Circuito Bicentenario Instituto T?cnico Industrial,Sur a Norte,19.45334,-99.163946
Circuito Bicentenario Boulebard Puerto Aereo,Sur  a Norte,19.4375679,-99.0861399
Av. Insurgentes Nte.,Norte a Sur,19.484079,-99.126609
Eje 8 Sur Ermita Iztapalapa,Oriente a Poniente,19.3427999,-99.0564653
Periferico 2P S-N,Sur a Norte,19.350306,-99.200777
Eje Central Lazaro Cardenas,Sur a Norte,19.486666,-99.143201
Eje 1 Nte. Mosqueta,Poniente a Oriente,19.4447801,-99.1440693
Av. Ejercito Nacional Mexicano,Oriente a Poniente,19.438951,-99.213515
Eje 3 Oriente,Sur a Norte,19.478628,-99.097819
Eje 2 Oriente La viga y Circuito Bicentenario Rio Churubusco,Sur a Norte,19.368829,-99.122408
Eje 5 Sur,Oriente a Poniente,19.346607,-99.180692
Autopista Urbana Norte (AUN),Sur a Norte,19.3847466,-99.1931371
Eje 3 Sur,Oriente a Poniente,19.406861,-99.149428
Eje 1 Norte,Poniente a Oriente,19.445941,-99.153184
Zaragoza,Poniente a Oriente,19.408772,-99.077477
Autopista Urbana Norte (AUN),Sur a Norte,19.419281,-99.195513
Circuito Bicentenario Av. Rio Consulado,Poniente a Oriente,19.4511166,-99.0962819
Av. Canal del Nte.,Oriente a Poniente,19.4526233,-99.1273266
Eje 2 Norte,Oriente a Poniente,19.454718,-99.138265
Av. Revolucion - Eje 10 Sur Loreto,Norte a Sur,19.338837,-99.192118
Periferico 2P S-N,Sur a Norte,19.3431643,-99.2027342
Calz. Vallejo,Norte a Sur,19.4698112,-99.1447284
Calz. Gral. Ignacio Zaragoza,Oriente a Poniente,19.419933,-99.095867
Eje 7 Sur Municipio Libre y Division del Norte,Oriente a Poniente,19.370331,-99.156549
Av. Revolucion,Norte a Sur,19.3906504,-99.1859205
Autopista Urbana Norte (AUN),Sur a Norte,19.447925,-99.220759
Eje 6 Sur,Poniente a Oriente,19.377115,-99.129933
Revolucion,Norte a Sur,19.363279,-99.189106
Av. Constituyentes,Oriente a Poniente,19.413017,-99.189798
Calz. De Tlalpan,Sur a Norte,19.3544699,-99.1445281
Autopista Urbana Norte (AUN),Norte a Sur,19.4100026,-99.1921155
Autopista Urbana Norte (AUN),Norte a Sur,19.4100026,-99.1921155
Circuito Bicentenario Calz. Melchor Ocampo,Norte a Sur,19.4404601,-99.1675379
Eje 3 Sur Jose Peon,Oriente  a Poniente,19.4073524,-99.1411463
Anillo Periferico,Poniente a Oriente,19.2970067,-99.095585
Calz. Ignacio Zaragoza,Poniente a Oriente,19.3960176,-99.0550857
Av. Instituto Politecnico Nacional,Norte a Sur,19.491188,-99.133574
Marina Nacional,Norte a Sur,19.448148,-99.182418
Izazaga,Oriente a Poniente,19.425918,-99.132917
Eje 1 Norte,Poniente a Oriente,19.446385,-99.153443
Eje 2 Norte,Oriente a Poniente,19.452092,-99.124707
Andres Molina Enriquez,Norte a Sur,19.381404,-99.129493
Taxquena,Oriente a Poniente,19.341127,-99.137371
Paseo de la Reforma - Eje 1 Poniente - Juarez,Norte a Sur,19.435965,-99.149726
Periferico 2P S-N,Norte a Sur,19.371011,-99.191443
Calzada de Misterios,Norte a Sur,19.468471,-99.124941
Av. Constituyentes,Poniente a Oriente,19.4062947,-99.2022534
Av. Tlahuac y Ganaderos,Sur a Norte,19.349157,-99.106869
Av. Instituto Politecnico Nacional,Sur a Norte,19.488276,-99.133981
Eje 8 Sur,Oriente a Poniente,19.482184,-99.133978
Eje 8 Sur y Av. Universidad,Poniente a Oriente,19.366426,-99.167849
Av. Ejercito Nacional,Poniente a Oriente,19.4387035,-99.2097713
Eje 5 Av. Montevideo,Oriente a Poniente,19.4943507,-99.1502647
Av. Chapultepec,Poniente a Oriente,19.4253317,-99.1556279
Av.608,Oriente a Poniente,19.4537273,-99.0755043
Paseo de la Reforma,Norte a Sur,19.443908,-99.139101
